Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
Charles Johnson,337 (80%),64 (15%),20 (5%),6 (43%),5 (36%),3 (21%),Active,"Topeka, United States",Murcielago MMA,,33,69.00,141.00,"Jul. 23, 2022",70.00,40.00,Flyweight Division,man
Jose Johnson,54 (40%),17 (13%),65 (48%),8 (50%),5 (31%),3 (19%),Active,"Flint, United States",,MMA,28,72.00,136.00,"Feb. 25, 2023",72.50,42.00,Flyweight Division,man
Miles Johns,311 (86%),23 (6%),26 (7%),4 (31%),7 (54%),2 (15%),Active,"Newton, United States",,Boxer,29,67.00,136.00,"Sep. 14, 2019",68.00,37.50,Bantamweight Division,man
Li Jingliang,695 (86%),40 (5%),70 (9%),10 (53%),5 (26%),4 (21%),Active,"Xinjiang, China",China Top Team Beijing,Boxing,35,72.00,170.50,"May. 24, 2014",71.50,40.50,Welterweight Division,man
Asikeerbai Jinensibieke,,,,,,,Active,"Xinjiang, China",,,34,,155.00,"Jun. 10, 2022",,,,man
Baergeng Jieleyisi,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,135.50,"Mar. 13, 2024",,,Bantamweight Division,man
Wuziazibieke Jiahefu,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Xinjiang, China",,,33,,147.50,"Mar. 13, 2024",,,Featherweight Division,man
Niushiyue Ji,53 (80%),0 (0%),13 (20%),0 (0 %),0 (0 %),0 (0 %),Active,"Sichuan, China",,,22,,139.90,"Feb. 3, 2024",,,Flyweight Division,man
Jack Jenkins,147 (63%),36 (15%),51 (22%),5 (45%),3 (27%),3 (27%),Active,"Bacchus Marsh, Australia",,Freestyle,29,67.00,145.50,"Feb. 11, 2023",68.00,38.00,Featherweight Division,man
Yazmin Jauregui,203 (82%),22 (9%),22 (9%),7 (64%),4 (36%),0 (0%),Active,"Guadalajara, Mexico",,Freestyle,24,63.00,115.00,"Aug. 13, 2022",64.00,36.00,Women's Strawweight Division,women
Jasmine Jasudavicius,241 (58%),51 (12%),120 (29%),2 (20%),6 (60%),2 (20%),Active,"St. Catharines, Canada",Niagara Top Team,Brawler,35,67.00,133.00,"Jan. 22, 2022",68.00,38.00,Women's Bantamweight Division,women
Virna Jandiroba,162 (74%),31 (14%),25 (11%),1 (6%),4 (22%),13 (72%),Active,"State of Bahia, Brazil",,Jiu-Jitsu,35,63.00,115.00,"Apr. 27, 2019",64.00,37.00,Women's Strawweight Division,women
Dustin Jacoby,788 (86%),98 (11%),26 (3%),12 (63%),6 (32%),1 (5%),Active,"Fort Morgan, United States",Factory X,Freestyle,35,75.00,204.50,"Oct. 29, 2011",76.00,45.00,Light Heavyweight Division,man
Richard Jacobi,2 (50%),0 (0%),2 (50%),0 (0 %),0 (0 %),0 (0 %),Active,,,,29,,244.50,"Mar. 13, 2024",,,Heavyweight Division,man
Montel Jackson,185 (50%),101 (27%),82 (22%),7 (50%),6 (43%),1 (7%),Active,"Milwaukee, United States",,MMA,31,70.00,136.00,"Aug. 4, 2018",75.50,41.00,Bantamweight Division,man
Brian Jackson,,,,,,,Active,,,,34,,,"Mar. 13, 2024",,,,man
Jordan Jackson,,,,,,,Active,,,,23,,,"Mar. 13, 2024",,,,man
Damon Jackson,210 (66%),55 (17%),51 (16%),4 (18%),3 (14%),15 (68%),Active,"Durant, United States",Fortis MMA,Grappler,34,71.00,158.00,"Aug. 30, 2014",71.00,41.50,Featherweight Division,man
Issa Isakov,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Mizuki,145 (71%),59 (29%),1 (0%),0 (0%),5 (36%),9 (64%),Active,Japan,"Serra-Longo - Long Island, NY",Karate,29,63.00,119.00,"Aug. 31, 2019",65.50,35.00,Women's Strawweight Division,women
Nassourdine Imavov,383 (70%),93 (17%),73 (13%),5 (45%),2 (18%),4 (36%),Active,Russia,Venum Training Camp Paris,Striker,29,75.00,185.00,"Oct. 3, 2020",75.00,42.00,Middleweight Division,man
Dan Ige,628 (78%),60 (7%),113 (14%),6 (33%),7 (39%),5 (28%),Active,"San Clemente, United States",,Jiu-Jitsu,32,67.00,146.00,"Jul. 25, 2017",71.00,38.00,Featherweight Division,man
Al Iaquinta,715 (92%),31 (4%),28 (4%),7 (50%),6 (43%),1 (7%),Active,"Wantagh, United States","Serra-Longo - Long Island, NY",,36,70.00,155.80,"Jun. 2, 2012",70.00,40.00,Lightweight Division,man
Victor Hugo,7 (78%),0 (0%),2 (22%),7 (29%),7 (29%),10 (42%),Active,"Goiânia, Brazil",,Striker,30,67.00,150.00,"Nov. 4, 2023",71.50,39.50,Bantamweight Division,man
Sam Hughes,319 (73%),54 (12%),66 (15%),2 (29%),2 (29%),3 (43%),Active,"Davenport, United States",Fortis MMA,Freestyle,31,65.00,115.00,"Dec. 12, 2020",64.00,36.00,Women's Strawweight Division,women
Austin Hubbard,310 (84%),27 (7%),33 (9%),5 (31%),9 (56%),2 (13%),Active,"Sterling, United States","Elevation Fight Team - Denver, CO",Freestyle,31,70.00,155.00,"May. 18, 2019",71.00,40.00,Lightweight Division,man
Jamey-Lyn Horth,69 (58%),50 (42%),0 (0%),3 (60%),0 (0%),2 (40%),Active,"Vancouver, Canada",,Kickboxer,33,67.00,125.50,"Apr. 29, 2023",67.00,40.99,Women's Flyweight Division,women
Chase Hooper,269 (58%),70 (15%),123 (27%),4 (31%),3 (23%),6 (46%),Active,"Enumclaw, United States",,Grappler,24,73.00,170.00,"Dec. 14, 2019",74.00,41.00,Lightweight Division,man
Dan Hooker,907 (85%),93 (9%),66 (6%),11 (50%),4 (18%),7 (32%),Active,"Aukland, New Zealand",Saigon Sports Club- Vietnam,MMA,34,72.00,155.50,"Jun. 28, 2014",75.00,42.50,Lightweight Division,man
Lorenzo Hood,9 (69%),4 (31%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,United States,,,34,75.00,257.50,"Mar. 13, 2024",80.00,45.00,Heavyweight Division,man
SeongChan Hong,13 (87%),2 (13%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,South Korea,,,33,,155.50,"Mar. 13, 2024",,,Lightweight Division,man
Kurt Holobaugh,246 (73%),69 (20%),24 (7%),8 (38%),3 (14%),10 (48%),Active,United States,,Boxing,36,71.00,155.50,"Jan. 13, 2013",70.00,39.00,Lightweight Division,man
Holly Holm,658 (82%),94 (12%),51 (6%),8 (57%),6 (43%),0 (0%),Active,"Albuquerque, United States",Joel Diaz Boxing,Kickboxer,42,68.00,135.50,"Feb. 28, 2015",69.00,38.00,Women's Bantamweight Division,women
Max Holloway,2780 (87%),245 (8%),172 (5%),11 (46%),11 (46%),2 (8%),Active,"Waianae, United States",Hawaii Elite MMA - Hawaii,Muay Thai,31,71.00,162.20,"Feb. 4, 2012",69.00,42.00,Featherweight Division,man
Kevin Holland,827 (79%),106 (10%),116 (11%),14 (56%),4 (16%),7 (28%),Active,"Riverside, United States",,Kung Fu,31,75.00,170.00,"Aug. 4, 2018",81.00,40.00,Welterweight Division,man
Frank Holland,,,,,,,Active,,,,34,69.00,250.50,"Mar. 13, 2024",70.00,,,man
Chris Hofmann,39 (62%),16 (25%),8 (13%),0 (0 %),0 (0 %),0 (0 %),Active,"Pasay, Philippines",,,33,,170.50,"Mar. 13, 2024",,,Welterweight Division,man
Jamahal Hill,481 (79%),71 (12%),56 (9%),7 (64%),4 (36%),0 (0%),Active,"Chicago, United States",,MMA,32,76.00,204.50,"Jan. 25, 2020",79.00,43.50,Light Heavyweight Division,man
Angela Hill,1380 (73%),453 (24%),63 (3%),5 (33%),10 (67%),0 (0%),Active,"Clinton, United States",,Muay Thai,39,63.00,115.50,"Dec. 12, 2014",64.50,38.50,Women's Strawweight Division,women
Brady Hiestand,109 (84%),10 (8%),11 (8%),4 (50%),2 (25%),2 (25%),Active,"Spokane, United States",Sik-Jitsu Mixed Martial Arts,MMA,24,68.00,136.00,"Aug. 28, 2021",71.00,39.00,Bantamweight Division,man
Anthony Hernandez,150 (50%),53 (18%),99 (33%),2 (17%),2 (17%),8 (67%),Active,"Oakland, United States",,Striker,30,72.00,185.50,"Feb. 2, 2019",75.00,40.00,Middleweight Division,man
Carlos Hernandez,207 (77%),50 (19%),11 (4%),0 (0%),5 (56%),4 (44%),Active,"Chicago, United States",Valle Flow Striking Academy,Freestyle,30,68.00,135.80,"Feb. 26, 2022",67.00,36.00,Flyweight Division,man
Alexander Hernandez,435 (83%),58 (11%),29 (6%),6 (46%),5 (38%),2 (15%),Active,"St. Louis, United States","Factory X - Englewood, CO",MMA,30,69.00,156.00,"Mar. 3, 2018",72.00,39.50,Lightweight Division,man
Jack Hermansson,765 (77%),75 (8%),159 (16%),11 (46%),7 (29%),6 (25%),Active,"Uddevalla, Sweden",Frontline Academy - Oslo,MMA,35,73.00,185.00,"Sep. 3, 2016",77.50,46.50,Middleweight Division,man
Jai Herbert,145 (72%),44 (22%),13 (6%),9 (82%),1 (9%),1 (9%),Active,"Wolverhampton, United Kingdom",Renegade Jiu-Jitsu,MMA,35,73.00,167.00,"Mar. 21, 2020",77.00,41.00,Lightweight Division,man
Victor Henry,339 (82%),70 (17%),6 (1%),6 (26%),9 (39%),8 (35%),Active,United States,,,36,67.00,136.00,"Jan. 22, 2022",68.00,38.00,Bantamweight Division,man
Danny Henry,61 (58%),6 (6%),38 (36%),5 (42%),2 (17%),5 (42%),Active,"Edinburgh, United Kingdom",,MMA,34,72.00,146.00,"Jul. 16, 2017",73.00,40.00,Featherweight Division,man
Ian Heinisch,193 (67%),33 (12%),60 (21%),5 (36%),7 (50%),2 (14%),Active,"Denver, United States",Sanford MMA,Wrestling,34,71.00,185.50,"Nov. 17, 2018",72.00,41.00,Middleweight Division,man
Phil Hawes,253 (74%),45 (13%),43 (13%),8 (67%),2 (17%),2 (17%),Active,"Hackensack, United States",,,35,72.00,185.00,"Aug. 1, 2017",77.50,41.00,Middleweight Division,man
Kayla Harrison,,,,,,,Active,,,,,,,"Apr. 13, 2024",,,,man
Carlston Harris,67 (63%),13 (12%),27 (25%),5 (26%),8 (42%),6 (32%),Active,"Skeldon, Guyana",,Boxing,36,72.00,180.00,"May. 8, 2021",76.00,42.00,Welterweight Division,man
Walt Harris,209 (66%),29 (9%),79 (25%),13 (100%),0 (0%),0 (0%),Active,"Birmingham, United States",,Freestyle,40,77.00,264.00,"Dec. 1, 2013",77.00,47.00,Heavyweight Division,man
Josiah Harrell,0 (0 %),0 (0 %),0 (0 %),4 (44%),3 (33%),2 (22%),Active,United States,,Grappler,24,67.00,170.50,"Jul. 8, 2023",68.00,,Welterweight Division,man
George Hardwick,52 (96%),2 (4%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Middlesbrough, United Kingdom",,,26,,,"Mar. 13, 2024",,,Lightweight Division,man
Shin Haraguchi,26 (28%),9 (10%),58 (62%),0 (0 %),0 (0 %),0 (0 %),Active,Japan,,,24,,164.70,"Feb. 3, 2024",,,Lightweight Division,man
Nasrat Haqparast,728 (88%),52 (6%),49 (6%),10 (63%),6 (38%),0 (0%),Active,"Rabat, Morocco",,Muay Thai,26,70.00,156.00,"Oct. 21, 2017",72.00,41.00,Lightweight Division,man
Chad Hanekom,8 (73%),3 (27%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,33,,,"Mar. 13, 2024",,,Middleweight Division,man
Rami Hamed,0 (0 %),0 (0 %),0 (0 %),12 (86%),0 (0%),2 (14%),Active,,,,,,,"Mar. 13, 2024",,,Welterweight Division,man
Ryan Hall,108 (67%),3 (2%),50 (31%),2 (9%),18 (78%),3 (13%),Active,"Arlington, United States","Fifty/50 - Falls Church, VA",,38,70.00,145.50,"Dec. 11, 2015",70.50,42.00,Featherweight Division,man
Yazan Hajeh,3 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,30,68.00,145.50,"Mar. 12, 2024",73.00,39.00,Featherweight Division,man
Bassil Hafez,28 (88%),4 (13%),0 (0%),1 (13%),3 (38%),4 (50%),Active,United States,"Elevation Fight Team - Denver, CO",Freestyle,31,71.00,171.00,"Jul. 15, 2023",72.00,39.00,Welterweight Division,man
Damir Hadzovic,254 (78%),35 (11%),36 (11%),7 (50%),4 (29%),3 (21%),Active,"Gorzade, Bosnia &amp; Herzegovina",Rumble Sports - Copenhagen,,36,69.00,156.00,"Apr. 10, 2016",70.00,40.00,Lightweight Division,man
Jake Hadley,122 (76%),6 (4%),32 (20%),2 (22%),2 (22%),5 (56%),Active,"Oldbury, United Kingdom",,MMA,27,67.00,141.00,"May. 14, 2022",70.00,38.00,Flyweight Division,man
Chelsea Hackett,22 (88%),3 (12%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,Australia,,,24,,126.00,"Mar. 13, 2024",,,Women's Flyweight Division,women
Chris Gutierrez,720 (95%),16 (2%),23 (3%),9 (50%),8 (44%),1 (6%),Active,"Jersey City, United States",Factory X,Freestyle,32,69.00,152.40,"Nov. 30, 2018",67.00,39.00,Bantamweight Division,man
Mando Gutierrez,11 (92%),0 (0%),1 (8%),0 (0 %),0 (0 %),0 (0 %),Active,"Carpentersville, United States",,,25,,135.50,"Mar. 12, 2024",,,Bantamweight Division,man
Alexander Gustafsson,575 (77%),59 (8%),117 (16%),11 (61%),4 (22%),3 (17%),Active,"Arboga, Sweden",Allstars Training Center,Striker,36,77.00,205.00,"Nov. 14, 2009",79.00,46.00,Light Heavyweight Division,man
Bogdan Guskov,0 (0 %),0 (0 %),0 (0 %),12 (86%),0 (0%),2 (14%),Active,"Tashkent, Uzbekistan",,MMA,31,75.00,218.20,"Sep. 2, 2023",76.00,41.00,Light Heavyweight Division,man
Clay Guida,787 (61%),168 (13%),325 (25%),7 (18%),17 (45%),14 (37%),Active,"Round Lake, United States",Joel Diaz Boxing,Freestyle,41,67.00,154.00,"Oct. 14, 2006",70.00,38.00,Lightweight Division,man
Rainn Guerrero,1 (33%),1 (33%),1 (33%),0 (0 %),0 (0 %),0 (0 %),Active,"Fort Worth, United States",,,31,,,"Mar. 12, 2024",,,Women's Strawweight Division,women
Chris Gruetzemacher,309 (69%),113 (25%),29 (6%),7 (47%),5 (33%),3 (20%),Active,"Page, United States","MMA LAB - Glendale, AZ",Jiu-Jitsu,37,68.00,156.00,"Dec. 11, 2015",68.00,39.00,Lightweight Division,man
Garrett Gross,42 (47%),10 (11%),37 (42%),0 (0 %),0 (0 %),0 (0 %),Active,"Du Quoin, United States",,,34,69.00,155.50,"Mar. 12, 2024",69.00,,Lightweight Division,man
Garrett Grimes,,,,,,,Active,,,,29,,185.50,"Mar. 12, 2024",,,,man
Charalampos Grigoriou,5 (38%),0 (0%),8 (62%),6 (75%),2 (25%),0 (0%),Active,Cyprus,"Serra-Longo - Long Island, NY",Striker,31,67.00,136.00,"Mar. 16, 2024",67.50,38.00,Bantamweight Division,man
Max Griffin,681 (84%),80 (10%),52 (6%),9 (47%),8 (42%),2 (11%),Active,"Santa Barbara, United States","Marinobles Kickboxing - Roseville, CA",Kickboxer,38,71.00,185.10,"Aug. 20, 2016",76.00,41.00,Welterweight Division,man
Logan Greenhalgh,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Bobby Green,1414 (80%),202 (11%),150 (8%),11 (35%),11 (35%),9 (29%),Active,"San Bernardino, United States",Pinnacle MMA,MMA,37,70.00,155.00,"May. 20, 2012",71.00,40.00,Lightweight Division,man
Gabe Green,308 (90%),10 (3%),23 (7%),4 (36%),1 (9%),6 (55%),Active,"Los Angeles, United States","Subfighter MMA Laguna Nigel, CA",Freestyle,30,70.00,170.50,"May. 30, 2020",73.00,40.00,Welterweight Division,man
James Gray,2 (100%),0 (0%),0 (0%),0 (0%),0 (0%),4 (100%),Active,"Philadelphia, United States",,,35,69.00,136.00,"Aug. 1, 2017",,,Bantamweight Division,man
Alexa Grasso,680 (80%),139 (16%),27 (3%),4 (25%),10 (63%),2 (13%),Active,"Guadalajara, Mexico",Lobo Gym MMA,MMA,30,65.00,124.50,"Nov. 6, 2016",66.00,37.50,Women's Flyweight Division,women
Davey Grant,582 (86%),48 (7%),49 (7%),4 (27%),2 (13%),9 (60%),Active,"Bishop Auckland, United Kingdom",SBG Manchester,MMA,37,68.00,136.00,"Dec. 1, 2013",69.00,40.00,Bantamweight Division,man
Bogdan Grad,2 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Timișoara, Romania",,,27,68.00,,"Mar. 12, 2024",70.00,39.00,Lightweight Division,man
Kron Gracie,108 (90%),11 (9%),1 (1%),0 (0%),0 (0%),5 (100%),Active,"State of Rio de Janeiro, Brazil",,Jiu-Jitsu,34,69.00,145.00,"Feb. 17, 2019",70.00,39.00,Featherweight Division,man
Themba Gorimbo,20 (39%),12 (24%),19 (37%),1 (10%),3 (30%),6 (60%),Active,"Masvingo, Zimbabwe",,MMA,33,73.00,181.00,"Feb. 18, 2023",77.00,43.00,Welterweight Division,man
Tresean Gore,59 (79%),12 (16%),4 (5%),2 (40%),1 (20%),2 (40%),Active,United States,American Top Team,Boxing,28,72.00,185.50,"Feb. 5, 2022",75.00,39.00,Middleweight Division,man
Jared Gordon,532 (64%),114 (14%),184 (22%),7 (35%),11 (55%),2 (10%),Active,"New York, United States",Sanford MMA,Freestyle,35,69.00,173.40,"Jun. 26, 2017",68.00,38.00,Lightweight Division,man
Jared Gooden,300 (88%),27 (8%),15 (4%),11 (48%),5 (22%),7 (30%),Active,United States,Kelly Davis MMA,Freestyle,29,72.00,171.00,"Nov. 21, 2020",77.00,41.00,Welterweight Division,man
Lyman Good,221 (75%),58 (20%),14 (5%),11 (52%),7 (33%),3 (14%),Active,"New York, United States","Tiger Schulmann's MMA - Elmwood Park, NJ",,38,72.00,170.50,"Jul. 15, 2015",74.00,41.00,Welterweight Division,man
Justin Gonzales,5 (5%),48 (48%),47 (47%),0 (0 %),0 (0 %),0 (0 %),Active,"Denver, United States",,Wrestler,32,69.00,146.00,"Mar. 12, 2024",,,Featherweight Division,man
William Gomis,101 (91%),7 (6%),3 (3%),6 (50%),5 (42%),1 (8%),Active,"Montivilliers, France","MMA Factory - Paris, France",,26,72.00,166.00,"Sep. 3, 2022",73.00,43.00,Featherweight Division,man
Luis Gomez,20 (95%),1 (5%),0 (0%),2 (50%),1 (25%),1 (25%),Active,Cuba,,,28,0.00,145.50,"Jul. 25, 2017",68.00,38.00,Featherweight Division,man
Denise Gomes,169 (66%),49 (19%),37 (15%),6 (75%),2 (25%),0 (0%),Active,"Santana do Livramento, Brazil",,MMA,23,62.00,122.30,"Sep. 17, 2022",63.00,35.50,Women's Strawweight Division,women
Hannah Goldy,252 (71%),84 (24%),18 (5%),1 (17%),4 (67%),1 (17%),Active,"Boston, United States",Fusion Xcel,,31,64.00,125.00,"Aug. 3, 2019",61.00,36.00,Women's Flyweight Division,women
Amiran Gogoladze,2 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,25,,170.50,"Mar. 13, 2024",,,Welterweight Division,man
Billy Goff,69 (91%),4 (5%),3 (4%),7 (78%),2 (22%),0 (0%),Active,"Gulfport, United States",,MMA,25,70.00,178.30,"Aug. 26, 2023",,,Welterweight Division,man
Loopy Godinez,483 (84%),51 (9%),39 (7%),1 (8%),9 (75%),2 (17%),Active,"Aguascalientes, Mexico",Titans MMA,Boxing,30,62.00,115.00,"Apr. 17, 2021",61.00,35.00,Women's Strawweight Division,women
Ricky Glenn,240 (55%),69 (16%),124 (29%),13 (59%),6 (27%),3 (14%),Active,"Marshalltown, United States",Absolute MMA and Fitness,Freestyle,34,72.00,155.50,"Sep. 18, 2016",70.50,40.50,Lightweight Division,man
Eperaim Ginting,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Berastagi, Indonesia",,,27,,134.50,"Mar. 13, 2024",,,Bantamweight Division,man
Alex Gilpin,45 (96%),1 (2%),1 (2%),0 (0 %),0 (0 %),0 (0 %),Active,"St. Louis, United States",,,31,,146.00,"Mar. 13, 2024",,,Featherweight Division,man
Gregor Gillespie,68 (31%),19 (9%),134 (61%),8 (53%),2 (13%),5 (33%),Active,"Rochester, United States",Bellmore Kickboxing (NY),,36,67.00,156.00,"Sep. 25, 2016",71.00,37.00,Lightweight Division,man
Trevin Giles,335 (74%),32 (7%),86 (19%),6 (40%),4 (27%),5 (33%),Active,"San Antonio, United States",War Training Center,Freestyle,31,72.00,192.00,"Jul. 9, 2017",74.00,41.00,Welterweight Division,man
Cody Gibson,196 (74%),62 (23%),6 (2%),7 (35%),8 (40%),5 (25%),Active,United States,,,35,70.00,135.00,"Feb. 22, 2014",71.00,41.00,Bantamweight Division,man
Christos Giagos,245 (73%),40 (12%),51 (15%),8 (40%),8 (40%),4 (20%),Active,"Azusa, United States",Sanford MMA,Boxer,33,70.00,169.00,"Oct. 25, 2014",71.50,40.00,Lightweight Division,man
Yanis Ghemmouri,24 (86%),4 (14%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,29,69.00,146.00,"Sep. 2, 2023",69.00,39.00,Bantamweight Division,man
Shamil Gaziev,53 (71%),9 (12%),13 (17%),8 (67%),1 (8%),3 (25%),Active,"Dagestan, Russia",,MMA,34,76.00,261.00,"Dec. 16, 2023",78.50,45.00,Heavyweight Division,man
Melissa Gatto,173 (86%),23 (11%),6 (3%),2 (25%),2 (25%),4 (50%),Active,"State of São Paulo, Brazil",,Jiu-Jitsu,27,65.00,141.00,"Aug. 7, 2021",69.00,38.00,Women's Flyweight Division,women
Kelvin Gastelum,881 (83%),106 (10%),71 (7%),7 (41%),6 (35%),4 (24%),Active,"San Jose, United States",Yuma United/Kings MMA,,32,69.00,170.00,"Apr. 14, 2013",71.50,39.50,Welterweight Division,man
Fernie Garcia,101 (91%),1 (1%),9 (8%),3 (30%),6 (60%),1 (10%),Active,United States,Fortis MMA,Boxing,31,67.00,151.00,"May. 7, 2022",67.00,38.00,Bantamweight Division,man
Steve Garcia,113 (51%),38 (17%),71 (32%),12 (80%),3 (20%),0 (0%),Active,"Albuquerque, United States",Jackson Wink MMA Academy - NM,Freestyle,31,72.00,163.60,"Feb. 29, 2020",75.00,41.00,Lightweight Division,man
Rafa Garcia,352 (84%),44 (11%),22 (5%),1 (6%),6 (38%),9 (56%),Active,"Brawley, United States",,Boxer,28,67.00,155.00,"Mar. 13, 2021",70.00,37.00,Lightweight Division,man
Harrison Garcia,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Cody Garbrandt,369 (88%),23 (6%),26 (6%),11 (79%),3 (21%),0 (0%),Active,"Uhrichsville, United States",Team Alpha Male  (Urijah Faber's Ultimate Fitness),Freestyle,32,68.00,136.00,"Jan. 3, 2015",65.50,38.00,Bantamweight Division,man
Junye Gao,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,31,,135.00,"Mar. 13, 2024",,,Bantamweight Division,man
Ciryl Gane,767 (90%),65 (8%),24 (3%),6 (50%),3 (25%),3 (25%),Active,"La Roche-sur-Yon, Vendée, France","MMA Factory - Paris, France",Muay Thai,33,76.00,250.00,"Aug. 10, 2019",81.00,42.00,Heavyweight Division,man
Mateusz Gamrot,272 (82%),27 (8%),34 (10%),8 (33%),11 (46%),5 (21%),Active,"Bielsko, Poland",American Top Team,Wrestling,33,70.00,170.00,"Oct. 17, 2020",70.50,39.00,Lightweight Division,man
Muin Gafurov,65 (70%),18 (19%),10 (11%),10 (56%),1 (6%),7 (39%),Active,Tajikistan,,Sambo,27,67.00,136.00,"Jun. 3, 2023",68.00,38.00,Bantamweight Division,man
Justin Gaethje,746 (87%),101 (12%),14 (2%),20 (80%),4 (16%),1 (4%),Active,"Tucson, United States",Genesis Training Center,MMA,35,71.00,156.00,"Jul. 8, 2017",70.00,40.00,Lightweight Division,man
Magomed Gadzhiyasulov,67 (92%),3 (4%),3 (4%),0 (0 %),0 (0 %),0 (0 %),Active,,,,29,,,"Mar. 12, 2024",,,Light Heavyweight Division,man
Adam Fugitt,78 (83%),10 (11%),6 (6%),4 (57%),0 (0%),3 (43%),Active,"Eugene, United States",,Freestyle,34,73.00,170.80,"Jul. 30, 2022",77.00,41.00,Welterweight Division,man
Matt Frevola,198 (66%),31 (10%),72 (24%),4 (36%),4 (36%),3 (27%),Active,"Huntington, United States",LAW MMA,Brawler,33,69.00,169.20,"Aug. 29, 2017",71.00,40.00,Lightweight Division,man
Josh Fremd,121 (77%),27 (17%),9 (6%),4 (40%),2 (20%),4 (40%),Active,"Evans City, United States",,Freestyle,29,76.00,200.00,"Apr. 9, 2022",76.00,44.00,Middleweight Division,man
Stephanie Frausto,4 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Clovis, United States",,,32,,115.00,"Mar. 13, 2024",,,Women's Strawweight Division,women
Kai Kara-France,562 (86%),15 (2%),79 (12%),11 (46%),10 (42%),3 (13%),Active,"Auckland, New Zealand",City Kickboxing,Kickboxer,30,64.00,125.50,"Dec. 2, 2018",69.00,37.00,Flyweight Division,man
Brianna Fortino,69 (65%),33 (31%),4 (4%),2 (25%),3 (38%),3 (38%),Active,"Gilroy, United States",,MMA,29,60.00,115.00,"Jul. 13, 2019",62.00,34.50,Women's Strawweight Division,women
Rob Font,1066 (88%),78 (6%),62 (5%),9 (45%),7 (35%),4 (20%),Active,"Leominster, United States",Sityodtong - Boston,Striker,36,68.00,135.00,"Jul. 5, 2014",71.50,38.50,Bantamweight Division,man
Darrius Flowers,60 (86%),6 (9%),4 (6%),9 (75%),3 (25%),0 (0%),Active,"Chicago, United States",,,29,69.00,170.80,"Jul. 29, 2023",72.00,38.99,Lightweight Division,man
Ty Flores,19 (63%),11 (37%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"St. Louis, United States",,,29,,204.50,"Mar. 13, 2024",,,Light Heavyweight Division,man
Jimmy Flick,50 (88%),0 (0%),7 (12%),0 (0%),2 (12%),15 (88%),Active,"Tulsa, United States",,Jiu-Jitsu,33,67.00,137.00,"Dec. 5, 2020",68.00,37.00,Flyweight Division,man
AJ Fletcher,138 (85%),12 (7%),13 (8%),4 (44%),1 (11%),4 (44%),Active,"Baton Rouge, United States",,Striker,26,70.00,183.00,"Mar. 12, 2022",67.00,37.00,Welterweight Division,man
Rafael Fiziev,461 (90%),50 (10%),4 (1%),8 (67%),3 (25%),1 (8%),Active,Kyrgyzstan,"Tiger Muay Thai - Phuket, Thailand",Muay Thai,31,68.00,156.00,"Apr. 20, 2019",71.50,40.00,Lightweight Division,man
Manon Fiorot,429 (87%),40 (8%),26 (5%),6 (55%),5 (45%),0 (0%),Active,"Nice, France",,Karate,34,67.00,125.00,"Jan. 20, 2021",65.00,38.00,Women's Flyweight Division,women
Andre Fili,760 (86%),43 (5%),78 (9%),10 (45%),9 (41%),3 (14%),Active,"Federal Way, United States",Team Alpha Male  (Urijah Faber's Ultimate Fitness),MMA,33,71.00,160.00,"Oct. 20, 2013",74.00,40.00,Featherweight Division,man
Jafel Filho,49 (83%),1 (2%),9 (15%),5 (33%),1 (7%),9 (60%),Active,"Sento Sé, Brazil",,Grappler,30,67.00,136.00,"Mar. 18, 2023",68.50,36.50,Flyweight Division,man
Deiveson Figueiredo,403 (72%),42 (7%),116 (21%),9 (41%),5 (23%),8 (36%),Active,"Soure, Brazil",Team Figueiredo,Boxing,36,65.00,135.00,"Jun. 3, 2017",68.00,38.00,Bantamweight Division,man
